job_title,experience,salary,location,job_description,tech_stack
Senior Data Scientist,6-10 Yrs ,Not disclosed ,,Should have strong experience in General data science . Should have strong experience i...,"['Training', 'continuous integration', 'Data analysis', 'GIT', 'Web services', 'data science', 'Artificial Intelligence', 'Machine learning']"
Data Science Lead,8-13 Yrs ,25-35 Lacs PA ,,Exp - 6 to 14 Yrs Location - Bangalore or Hyderabad Position - Permanent Mandatory Skil...,"['Natural Language Processing', 'Data Science', 'Time Series', 'Computer Vision', 'Python', 'Tensorflow', 'Big Data', 'Ml Algorithms']"
NLP Data Scientist,2-3 Yrs ,Not disclosed ,,Experience / Qualification . 2-3 years of prior NLP experiencePrior experience of build...,"['Basic', 'Data analysis', 'Version control', 'GIT', 'GCP', 'Programming', 'Healthcare', 'Technology solutions']"
Data Scientist,1-4 Yrs ,Not disclosed ,,Understand business problems and work on the statistical and analytical approach requir...,"['Data analysis', 'Version control', 'GIT', 'data science', 'GCP', 'Analytical', 'Machine learning', 'Data mining']"
Data Scientist,5-8 Yrs ,Not disclosed ,,"Should be able to work with multiple teams to understand the requirements, designing an...","['Data analysis', 'Data management', 'Postgresql', 'Analytical', 'Machine learning', 'Back office', 'Business intelligence', 'Analytics']"
Lead - Data Scientist,8-10 Yrs ,Not disclosed ,,"You should also have a business mindset, swift to identify risk situations and opportun...","['Unix', 'Computer science', 'Linux', 'Coding', 'Machine learning', 'Customer service', 'Analytics', 'SQL']"
Data Scientist,2-6 Yrs ,Not disclosed ,,You should be excited about the idea of solving different data science challenges every...,"['Training', 'SAN', 'Data analysis', 'Backend', 'data science', 'Machine learning', 'Venture capital', 'Equity']"
Senior Data Scientist,3-5 Yrs ,Not disclosed ,,Graduate-level degree preferred with concentration in a quantitative discipline such as...,"['Computer science', 'Cloud computing', 'Operations research', 'Statistical analysis', 'data science', 'Machine learning', 'Data mining', 'Analytics']"
Senior Data Scientist,3-8 Yrs ,Not disclosed ,,"Bayesian inference) . Ability and experience in extracting insights from data, and summ...","['data science', 'Web analytics', 'Data modeling', 'Consulting', 'Intellectual property', 'Product strategy', 'Logistics', 'SQL']"
Sr Data Scientist,5-10 Yrs ,Not disclosed ,,"Masters or equivalent experience in Computer Science, Data Science, Statistics, or a re...","['Data analysis', 'Data management', 'Machine learning', 'SCALA', 'Data processing', 'Data quality', 'Data mining', 'SQL']"
Staff Battery Data Scientist,3-5 Yrs ,Not disclosed ,,Required Experience and Skills . PhD or master s in computer science (or related fields...,"['C++', 'Data analysis', 'SOC', 'Agile', 'Perl', 'Firmware', 'MATLAB', 'Analytics']"
Data Scientist - Marketing,4-5 Yrs ,Not disclosed ,,We are looking for an experienced MarketingData Scientist who is not only well-versed i...,"['IT services', 'Data analysis', 'Coding', 'Consulting', 'Machine learning', 'Data analytics', 'Digital marketing', 'SQL']"
DATA SCIENTIST,2-6 Yrs ,Not disclosed ,,. We are looking for someone with a passion for research and belief in bringing major s...,"['Research', 'Data']"
Data Scientist,3-5 Yrs ,Not disclosed ,,You should be passionate about working with data sets and be someone who loves to bring...,"['Computer science', 'Prototype', 'GIT', 'Analytical', 'Machine learning', 'Information retrieval', 'Data quality', 'Forecasting']"
Data Scientist - Analyst,2-5 Yrs ,Not disclosed ,,"Mandatory Skills: Degree / Master s in Data Science, Mathematics, Statistics, or relate...","['data science', 'GCP', 'Senior Analyst', 'Machine learning', 'Deployment', 'Mathematics', 'Predictive analytics', 'Statistics']"
Senior Lead Data Scientist - SAS & AML,7-10 Yrs ,Not disclosed ,,. An Engineering degree with a specialization in computer science or electronics or a B...,"['SAS', 'Analytical', 'Artificial Intelligence', 'Machine learning', 'Genetics', 'data visualization', 'Information technology', 'SQL']"
Sr. Data Scientist - Bangalore,5-10 Yrs ,Not disclosed ,,"Model Development: Designing, implementing, and fine-tuning generative models . Expe...","['Data analysis', 'MIS', 'Machine learning', 'Data quality', 'Natural language processing', 'data visualization', 'Operations', 'Analytics']"
Data Scientist,3-5 Yrs ,Not disclosed ,,"Ability to sift through data, identify critical information, analyze, develop hypothesi...","['Operations research', 'Simulation', 'Data management', 'Analytical', 'German', 'Spanish', 'Continuous improvement', 'Analytics']"
Data Scientist - Senior Analyst,3-6 Yrs ,Not disclosed ,,"Mandatory Skills: Degree / Master s in Data Science, Mathematics, Statistics, or relate...","['Analyst', 'data science', 'GCP', 'Machine learning', 'Deployment', 'Mathematics', 'Predictive analytics', 'Statistics']"
Data Scientist/Lead Data Scientist - Academic Operations,2-7 Yrs ,Not disclosed ,,. Own the quality of end to end learning experience for our global flagship programs in...,"['Statistical modeling', 'Quality improvement', 'data science', 'Artificial Intelligence', 'Machine learning', 'Open source', 'Technical support', 'Analytics']"
Data Scientist,2-4 Yrs ,Not disclosed ,,"Hands on development experience in Python and packages such as NumPy, Sci-Kit Learn and...","['Computer vision', 'Performance tuning', 'deep learning', 'data science', 'Analytical', 'Machine learning', 'Packaging', 'Data structures']"
Snowflake Data Engineer_Bangalore_Immedaite Joiner,7-12 Yrs ,20-35 Lacs PA ,,"• 6-8 years of hands-on experience in data engineering, data warehousing, data analytic...","['Snowflake', 'Snowpark', 'Snowpipe', 'AWS', 'Python', 'Data']"
Data Scientist,2-3 Yrs ,Not disclosed ,,"Skills Required - Python, Modeling, Research, Mongo DB, Statistical Analytics-","['Python', 'Stream Analytics', 'MongoDB', 'Research', 'Modeling', 'Data', 'Analytics', 'Streams']"
Data Scientist,10-12 Yrs ,Not disclosed ,,"As a Data Scientist specializing in Customer and Marketing Analytics, you will ...","['SAN', 'customer analytics', 'Analytical', 'Predictive modeling', 'Digital marketing', 'SQL', 'Python', 'Modeling']"
Data Scientist Machine Learning,10-20 Yrs ,Not disclosed ,,"Working closely with the rest of our Analytics team and partnering with our BI team, yo...","['SAN', 'Data migration', 'Web services', 'Medical coding', 'Analytical', 'Data mining', 'Forecasting', 'Information technology']"
Data Scientist,3-6 Yrs ,Not disclosed ,,Experience converting a business idea into a functional end-2-end AI project . Experien...,"['Product management', 'Quality monitoring', 'Machine learning', 'Radiology', 'Healthcare', 'Natural language processing', 'Data quality', 'Continuous improvement']"
